resume_id,resume_text,resume_skills,experience_years,education_level,projects,certifications,job_role,required_skills,job_experience_required,job_description,skill_match_score,experience_match,education_match,final_score,shortlisted,similarity_score
R0,"Professional Summary:
Candidate with 10 years of experience.

Skills:
Machine Learning, Python, Excel, Power BI, PyTorch, SQL, Docker, Java

Experience:
- Collaborated with cross-functional teams

Projects:
- Built a machine learning model for predicting customer churn
- Implemented deep learning models using TensorFlow
- Designed scalable backend systems using Node.js

Certifications:
None","Machine Learning, Python, Excel, Power BI, PyTorch, SQL, Docker, Java",10,PhD,Built a machine learning model for predicting customer churn; Implemented deep learning models using TensorFlow; Designed scalable backend systems using Node.js,None,Software Engineer,"Python, TensorFlow, Data Analysis, Flask, Machine Learning, Power BI, C++",3,"We are hiring a Software Engineer.
Required experience: 3 years.
Skills required: Python, TensorFlow, Data Analysis, Flask, Machine Learning, Power BI, C++.",0.43,1,1,0.683790607,1,1
R1,"Professional Summary:
Candidate with 4 years of experience.

Skills:
NLP, Flask, Cloud Computing

Experience:
- Deployed applications using cloud services

Projects:
- Created interactive dashboards using Power BI

Certifications:
None","NLP, Flask, Cloud Computing",4,Bachelors,Created interactive dashboards using Power BI,None,Data Scientist,"Docker, Excel, Java, Django, TensorFlow",1,"We are hiring a Data Scientist.
Required experience: 1 years.
Skills required: Docker, Excel, Java, Django, TensorFlow.",0,1,0,0.485214292,1,1
R2,"Professional Summary:
Candidate with 1 years of experience.

Skills:
SQL, TensorFlow, C++, Docker, Node.js, Machine Learning

Experience:
- Deployed applications using cloud services

Projects:
- Developed a web application using Flask and React
- Created interactive dashboards using Power BI
- Built a machine learning model for predicting customer churn

Certifications:
None","SQL, TensorFlow, C++, Docker, Node.js, Machine Learning",1,Bachelors,Developed a web application using Flask and React; Created interactive dashboards using Power BI; Built a machine learning model for predicting customer churn,None,ML Engineer,"Docker, NLP, PyTorch, Node.js, Machine Learning, Cloud Computing",3,"We are hiring a ML Engineer.
Required experience: 3 years.
Skills required: Docker, NLP, PyTorch, Node.js, Machine Learning, Cloud Computing.",0.5,0,0,0.419598183,1,1
R3,"Professional Summary:
Candidate with 8 years of experience.

Skills:
SQL, NLP, Power BI, TensorFlow, Node.js, Data Analysis, Deep Learning, Cloud Computing

Experience:
- Deployed applications using cloud services
- Optimized model performance and accuracy

Projects:
- Created interactive dashboards using Power BI
- Built a machine learning model for predicting customer churn
- Implemented deep learning models using TensorFlow

Certifications:
None","SQL, NLP, Power BI, TensorFlow, Node.js, Data Analysis, Deep Learning, Cloud Computing",8,Bachelors,Created interactive dashboards using Power BI; Built a machine learning model for predicting customer churn; Implemented deep learning models using TensorFlow,None,Data Scientist,"PyTorch, Cloud Computing, Data Analysis, React",4,"We are hiring a Data Scientist.
Required experience: 4 years.
Skills required: PyTorch, Cloud Computing, Data Analysis, React.",0.5,1,0,0.679597545,1,1
R4,"Professional Summary:
Candidate with 4 years of experience.

Skills:
Django, Deep Learning, Excel, TensorFlow, Machine Learning, Docker, Node.js, Kubernetes

Experience:
- Handled large-scale data processing tasks

Projects:
- Implemented deep learning models using TensorFlow
- Designed scalable backend systems using Node.js
- Developed a web application using Flask and React

Certifications:
None","Django, Deep Learning, Excel, TensorFlow, Machine Learning, Docker, Node.js, Kubernetes",4,PhD,Implemented deep learning models using TensorFlow; Designed scalable backend systems using Node.js; Developed a web application using Flask and React,None,Data Analyst,"Java, Machine Learning, Deep Learning",6,"We are hiring a Data Analyst.
Required experience: 6 years.
Skills required: Java, Machine Learning, Deep Learning.",0.67,0,1,0.413472259,1,1
R5,"Professional Summary:
Candidate with 9 years of experience.

Skills:
Flask, SQL, Kubernetes, Node.js

Experience:
- Optimized model performance and accuracy
- Worked on real-world data science projects
- Collaborated with cross-functional teams

Projects:
- Created interactive dashboards using Power BI
- Built a machine learning model for predicting customer churn
- Designed scalable backend systems using Node.js

Certifications:
AWS Certified, Microsoft Azure","Flask, SQL, Kubernetes, Node.js",9,Masters,Created interactive dashboards using Power BI; Built a machine learning model for predicting customer churn; Designed scalable backend systems using Node.js,"AWS Certified, Microsoft Azure",Data Analyst,"Django, Python, Excel, NLP",5,"We are hiring a Data Analyst.
Required experience: 5 years.
Skills required: Django, Python, Excel, NLP.",0,1,1,0.546798356,1,1
R6,"Professional Summary:
Candidate with 2 years of experience.

Skills:
C++, Node.js, Data Analysis

Experience:
- Worked on real-world data science projects
- Handled large-scale data processing tasks

Projects:
- Designed scalable backend systems using Node.js

Certifications:
AWS Certified, Microsoft Azure","C++, Node.js, Data Analysis",2,Masters,Designed scalable backend systems using Node.js,"AWS Certified, Microsoft Azure",ML Engineer,"Power BI, Java, PyTorch, SQL, TensorFlow",6,"We are hiring a ML Engineer.
Required experience: 6 years.
Skills required: Power BI, Java, PyTorch, SQL, TensorFlow.",0,0,1,0.117425084,0,1
R7,"Professional Summary:
Candidate with 8 years of experience.

Skills:
SQL, TensorFlow, Deep Learning, Node.js, Cloud Computing, Power BI

Experience:
- Collaborated with cross-functional teams
- Optimized model performance and accuracy
- Handled large-scale data processing tasks

Projects:
- Designed scalable backend systems using Node.js
- Implemented deep learning models using TensorFlow

Certifications:
None","SQL, TensorFlow, Deep Learning, Node.js, Cloud Computing, Power BI",8,Bachelors,Designed scalable backend systems using Node.js; Implemented deep learning models using TensorFlow,None,Frontend Developer,"Docker, Django, Node.js, TensorFlow, Java, Machine Learning, Flask, React",3,"We are hiring a Frontend Developer.
Required experience: 3 years.
Skills required: Docker, Django, Node.js, TensorFlow, Java, Machine Learning, Flask, React.",0.25,1,0,0.609852844,1,1
R8,"Professional Summary:
Candidate with 9 years of experience.

Skills:
PyTorch, TensorFlow, Power BI

Experience:
- Worked on real-world data science projects

Projects:
- Built a machine learning model for predicting customer churn

Certifications:
AWS Certified, Google Data Analytics","PyTorch, TensorFlow, Power BI",9,Bachelors,Built a machine learning model for predicting customer churn,"AWS Certified, Google Data Analytics",ML Engineer,"Node.js, Power BI, Excel",6,"We are hiring a ML Engineer.
Required experience: 6 years.
Skills required: Node.js, Power BI, Excel.",0.33,1,0,0.613667837,1,1
R9,"Professional Summary:
Candidate with 7 years of experience.

Skills:
Data Analysis, TensorFlow, Deep Learning, React, Machine Learning, Kubernetes

Experience:
- Deployed applications using cloud services
- Optimized model performance and accuracy
- Collaborated with cross-functional teams

Projects:
- Built a machine learning model for predicting customer churn

Certifications:
None","Data Analysis, TensorFlow, Deep Learning, React, Machine Learning, Kubernetes",7,Masters,Built a machine learning model for predicting customer churn,None,Data Analyst,"Java, Machine Learning, PyTorch, Kubernetes, Docker, NLP",1,"We are hiring a Data Analyst.
Required experience: 1 years.
Skills required: Java, Machine Learning, PyTorch, Kubernetes, Docker, NLP.",0.33,1,1,0.645755107,1,1
